subject,catNbr,name,courseId
MAT,226,MAT 226,005221
MAT,136,MAT 136,005211
CS,105,CS 105,012995
CS,112,CS 112,001719
CS,122,CS 122,001722
CS,126,CS 126,001727
CS,136,CS 136,001728
CS,200,CS 200,009396
CS,205,CS 205,012996
CS,212,CS 212,001735
CS,249,CS 249,001737
CS,305,CS 305,012997
CS,345,CS 345,010121
CS,386,CS 386,001755
CS,476,CS 476,010183
CS,480,CS 480,009400
EE,222,EE 222,002343
INF,110,INF 110,012606
EGR,333W,EGR 333W,013224
CS,486C,CS 486C,001784
CS,485,CS 485,001782
CS,497,CS 497,001786
MAT,316,MAT 316,005229
BIO,181,BIO 181,000906
BIO,182,BIO 182,000909
CHM,151,CHM 151,001281
CHM,152,CHM 152,001284
PHY,161,PHY 161,006657
PHY,262,PHY 262,006662
MAT,137,MAT 137,005213
MAT,362,MAT 362,005239
CS,315,CS 315,001745
CS,396,CS 396,001757
CS,421,CS 421,001767
MAT,121,MAT 121,012074
EET,320,EET 320,013389
EET,330,EET 330,013390
EET,340,EET 340,013391
EET,426,EET 426,013392
EET,486C,EET 486C,013393
STA,270,STA 270,008088
BBA,303,BBA 303,010514
BBA,355,BBA 355,010409
BBA,370,BBA 370,010410
CCJ,101,CCJ 101,001440
JUS,110,JUS 110,011149
CCJ,250,CCJ 250,001450
JUS,120,JUS 120,011150
INT,301,INT 301,011155
INT,315,INT 315,011156
STA,275,STA 275,010056
CS,312,CS 312,013204
CYB,126,CYB 126,013212
CYB,136,CYB 136,013213
CYB,310,CYB 310,013214
CYB,402,CYB 402,013215
CYB,404,CYB 404,013217
CYB,410,CYB 410,013219
CYB,412,CYB 412,013220
CYB,486C,CYB 486C,013223
CCJ,340,CCJ 340,001466
CCJ,385,CCJ 385,010251
INT,370,INT 370,011159
INT,415,INT 415,011160
INT,440,INT 440,011161
MAT,239,MAT 239,005224
CENE,225,CENE 225,002455
AST,180,AST 180,000737
GLG,101,GLG 101,003742
GLG,103,GLG 103,003744
MAT,238,MAT 238,005223
PHY,263,PHY 263,006665
EE,110,EE 110,001736
EE,188,EE 188,002340
EE,215,EE 215,001738
EE,280,EE 280,002346
EE,286,EE 286,011609
EE,310,EE 310,002348
EE,325,EE 325,002473
EE,348,EE 348,002350
EE,364,EE 364,002352
EE,380,EE 380,002355
EGR,186,EGR 186,002446
EE,476C,EE 476C,002375
EE,486C,EE 486C,002382
EE,485,EE 485,002380
EE,497,EE 497,002385
BIO,100,BIO 100,000895
CS,110,CS 110,010182
ENV,101,ENV 101,002887
FOR,101,FOR 101,003329
GLG,100,GLG 100,003740
PHY,103,PHY 103,006644
PHS,101,PHS 101,006609
AST,181,AST 181,000738
BIO,205,BIO 205,000918
CHM,130,CHM 130,001278
ENG,302W,ENG 302W,002653
INF,376,INF 376,012284
INF,386,INF 386,012285
INF,476C,INF 476C,012286
INF,486C,INF 486C,012287
STA,371,STA 371,008089
AST,280,AST 280,000742
AST,390,AST 390,000748
AST,391,AST 391,000749
AST,392,AST 392,000750
AST,401,AST 401,000745
AST,520,AST 520,011813
BIO,240,BIO 240,000932
BIO,344,BIO 344,000963
BIO,450,BIO 450,010233
BIO,482C,BIO 482C,010234
BIO,226,BIO 226,000927
BIO,441,BIO 441,010073
BIO,471C,BIO 471C,009931
BIO,479,BIO 479,001013
FOR,213,FOR 213,003336
MAT,125,MAT 125,005205
MAT,114,MAT 114,005202
MAT,108,MAT 108,009721
CS,122L,CS 122L,010375
MAT,125H,MAT 125H,005206
CS,126L,CS 126L,010376
MAT,136H,MAT 136H,005212
CS,136L,CS 136L,010377
HON,190,HON 190,004288
BIO,182L,BIO 182L,010537
MAT,110,MAT 110,005199
PHY,171,PHY 171,010915
ISM,220,ISM 220,001401
MAT,119,MAT 119,005203
MAT,131,MAT 131,005209
MAT,100,MAT 100,010913
BBA,300,BBA 300,010187
GLG,101H,GLG 101H,009388
PHY,172,PHY 172,011530
PHY,112,PHY 112,006650
EE,188L,EE 188L,002341
EE,386W,EE 386W,002356
ENV,101L,ENV 101L,002889
GLG,100L,GLG 100L,003741
BIO,205L,BIO 205L,010665
AST,401L,AST 401L,000746
CHM,152L,CHM 152L,001285
BIO,350,BIO 350,000966
BIO,226L,BIO 226L,000928
FOR,313,FOR 313,003359
CHM,130L,CHM 130L,010533
CHM,151L,CHM 151L,001282
ISM,120,ISM 120,001390
ISM,120H,ISM 120H,009612
BBA,290,BBA 290,010463
BBA,291,BBA 291,010464
PHY,111,PHY 111,006647
